,Overall,Bib,Name,Time
0,1,1,Scott Wietecha,02:28:16
1,2,3,Garang Madut,02:29:52
2,3,33442,Kevin Fink,02:38:59
3,4,33441,Andrew Hodges,02:43:59
4,5,30028,Nicholas Aubert,02:48:11
5,6,30038,Dan Shafer,02:49:00
6,7,30099,Jacob Rainey,02:51:46
7,8,33712,Ry Glover,02:53:17
8,9,11,Stella Christoforou,02:53:44
9,10,30052,Tyler Hallenbeck,02:56:21
10,11,30057,Jansen Hein,02:56:23
11,12,33448,Christopher Harrington,02:56:48
12,13,30050,James Nabholz,02:57:03
13,14,30039,Jared Daedler,02:57:36
14,15,30096,Nicholas Tseffos,02:59:35
15,16,30107,Thomas Aliff,02:59:41
16,17,30040,Jeremy Riehm,03:01:41
17,18,30058,Greg Jones,03:02:12
18,19,30135,Jack Burger,03:02:17
19,20,30048,Edgar Garza,03:05:40
20,21,10,Heather Crowe,03:07:46
21,22,33452,Cristina Noble,03:08:21
22,23,30153,Dan Williams,03:09:33
23,24,30117,Eddie Bell,03:09:39
24,25,30395,Emanuel Loreant,03:10:23
