,Overall,Bib,Name,Time
0,1,30001,Travis Peruski,01:37:54
1,2,1,Scott Wietecha,02:34:59
2,3,4,Jordan Wilson,02:35:24
3,4,30034,Steelton Flynn,02:39:59
4,5,30035,Thomas Ellis,02:42:09
5,6,33172,Nicholas Tseffos,02:48:42
6,7,30053,Satoshi Mitsumori,02:50:33
7,8,30051,Harrison Kieffer,02:51:18
8,9,30086,Steven Forte,02:54:34
9,10,30042,Grant Rice,02:55:49
10,11,30049,Andrew Fisher,02:56:05
11,12,30038,Edgar Garza,02:56:40
12,13,30094,Wesley King,02:56:58
13,14,30112,Jake Smith,02:57:38
14,15,30096,Mark Laprade,02:58:00
15,16,30142,Scott Roman,02:59:09
16,17,30054,James Nabholz,02:59:59
17,18,30056,Kazufumi Seki,03:01:21
18,19,30084,Nicholas Eulau,03:01:59
19,20,30045,Mitchell Davis,03:02:18
20,21,30075,Eddie Bell,03:03:12
21,22,30039,Montana Klingsporn,03:03:17
22,23,2,Mathias Osmark,03:04:01
23,24,30052,Sean Kunis,03:05:22
24,25,30074,Dylan Beaulieu,03:05:28
